          #time              R       pressure    -rho*dphi*R             ux             uy             uz             vx             vy             vz
  0.1407446E-03  0.5015919E-01  0.1659612E+06  0.1189541E+06  0.0000000E+00  0.0000000E+00  0.1661505E-06  0.0000000E+00  0.0000000E+00  0.2214393E-02
  0.1422071E-03  0.5022957E-01  0.1651031E+06  0.1185830E+06  0.0000000E+00  0.0000000E+00  0.1694041E-06  0.0000000E+00  0.0000000E+00  0.2233711E-02
  0.1436737E-03  0.5029999E-01  0.1642502E+06  0.1182132E+06  0.0000000E+00  0.0000000E+00  0.1726952E-06  0.0000000E+00  0.0000000E+00  0.2253035E-02
  0.1451444E-03  0.5037047E-01  0.1634023E+06  0.1178446E+06  0.0000000E+00  0.0000000E+00  0.1760239E-06  0.0000000E+00  0.0000000E+00  0.2272365E-02
  0.1466193E-03  0.5044099E-01  0.1625595E+06  0.1174772E+06  0.0000000E+00  0.0000000E+00  0.1793905E-06  0.0000000E+00  0.0000000E+00  0.2291702E-02
  0.1480983E-03  0.5051155E-01  0.1617217E+06  0.1171112E+06  0.0000000E+00  0.0000000E+00  0.1827952E-06  0.0000000E+00  0.0000000E+00  0.2311046E-02
  0.1495814E-03  0.5058217E-01  0.1608889E+06  0.1167463E+06  0.0000000E+00  0.0000000E+00  0.1862381E-06  0.0000000E+00  0.0000000E+00  0.2330397E-02
  0.1510687E-03  0.5065283E-01  0.1600610E+06  0.1163827E+06  0.0000000E+00  0.0000000E+00  0.1897194E-06  0.0000000E+00  0.0000000E+00  0.2349755E-02
  0.1525601E-03  0.5072354E-01  0.1592380E+06  0.1160203E+06  0.0000000E+00  0.0000000E+00  0.1932393E-06  0.0000000E+00  0.0000000E+00  0.2369121E-02
  0.1540557E-03  0.5079430E-01  0.1584200E+06  0.1156592E+06  0.0000000E+00  0.0000000E+00  0.1967981E-06  0.0000000E+00  0.0000000E+00  0.2388494E-02
  0.1555555E-03  0.5086510E-01  0.1576067E+06  0.1152992E+06  0.0000000E+00  0.0000000E+00  0.2003958E-06  0.0000000E+00  0.0000000E+00  0.2407876E-02
  0.1570594E-03  0.5093596E-01  0.1567984E+06  0.1149405E+06  0.0000000E+00  0.0000000E+00  0.2040327E-06  0.0000000E+00  0.0000000E+00  0.2427266E-02
  0.1585676E-03  0.5100686E-01  0.1559947E+06  0.1145830E+06  0.0000000E+00  0.0000000E+00  0.2077091E-06  0.0000000E+00  0.0000000E+00  0.2446664E-02
  0.1600799E-03  0.5107780E-01  0.1551959E+06  0.1142267E+06  0.0000000E+00  0.0000000E+00  0.2114250E-06  0.0000000E+00  0.0000000E+00  0.2466072E-02
  0.1615965E-03  0.5114880E-01  0.1544018E+06  0.1138715E+06  0.0000000E+00  0.0000000E+00  0.2151807E-06  0.0000000E+00  0.0000000E+00  0.2485488E-02
  0.1631172E-03  0.5121984E-01  0.1536124E+06  0.1135176E+06  0.0000000E+00  0.0000000E+00  0.2189764E-06  0.0000000E+00  0.0000000E+00  0.2504913E-02
  0.1646422E-03  0.5129093E-01  0.1528276E+06  0.1131649E+06  0.0000000E+00  0.0000000E+00  0.2228123E-06  0.0000000E+00  0.0000000E+00  0.2524349E-02
  0.1661715E-03  0.5136206E-01  0.1520475E+06  0.1128133E+06  0.0000000E+00  0.0000000E+00  0.2266885E-06  0.0000000E+00  0.0000000E+00  0.2543793E-02
  0.1677050E-03  0.5143325E-01  0.1512719E+06  0.1124629E+06  0.0000000E+00  0.0000000E+00  0.2306054E-06  0.0000000E+00  0.0000000E+00  0.2563248E-02
  0.1692427E-03  0.5150448E-01  0.1505010E+06  0.1121137E+06  0.0000000E+00  0.0000000E+00  0.2345630E-06  0.0000000E+00  0.0000000E+00  0.2582713E-02
  0.1707847E-03  0.5157575E-01  0.1497346E+06  0.1117657E+06  0.0000000E+00  0.0000000E+00  0.2385617E-06  0.0000000E+00  0.0000000E+00  0.2602189E-02
